population	median_age	dependency_ratio	pct_4family	schoolyr_avrg	pct_degree	pct_earner	pct_wmn_noincome	pct_incometwice	pct_belowminimum	pct_recepients	income	motorization	avgvehicle	avgabroad	village
7243.788895	23	93.50710242	28.93023256	10.41937238	13.96045741	56.54062212	51.86401783	3.56023246	45.27454346	4.831725566	2455.469406	26.3987658	1293.57864	0.714411	BUSTAN EL-MARJ
8714.785678	22	96.10234258	25.33616419	10.48756455	14.03541487	55.17951672	56.12854457	4.061501103	54.73805638	4.348930817	2055.182043	24.50277213	1313.732927	0.779540643	BUEINENUJEIDAT
6169.887318	26	82.47738707	8.9	10.46714806	10.67388094	47.42297851	69.73064648	3.485584335	61.67533575	5.21889596	1710.692606	27.02635969	1352.410467	0.305416553	BUQATA
8295.379337	22	94.64350337	23.98286938	10.02554146	8.236322009	53.35147763	55.01882869	2.318287304	52.83801261	4.580863449	1978.592983	26.55410462	1212.205274	0.506316612	BIR ELMAKSUR
5899.177176	17	147.4919233	43.39839265	13.67286511	40.8629048	67.11689558	11.20040891	8.31765588	53.41236036	0.678060665	2680.002039	15.37554512	1247.041132	2.044418353	BET EL
4321.965144	28	77.976455	11.01973684	13.08699647	28.32935024	78.1971952	10.58248926	18.24727336	30.90979487	0.300789099	5486.127886	46.23191782	1320.386969	6.008253074	BET ARYE
11144.63004	26	76.63871324	10.09122007	11.19753336	14.88469862	57.99158246	42.45834474	6.848732543	57.51317557	2.970040268	2592.921727	26.91770642	1270.906624	0.879062462	BEIT JANN
7122.022303	32	77.94261348	8.123569794	12.22083092	24.39205567	69.69056663	13.40233531	15.77856336	34.89910596	1.347931752	4928.074298	39.50653807	1365.093438	4.842697706	BET DAGAN
17262.68153	29	75.79963438	15.32416503	11.68438297	13.43120181	68.7548522	17.26372072	5.690961438	43.93488792	4.427574625	3406.902927	25.89166522	1309.66911	1.747174962	BET SHEAN
94007.48063	16	142.3849949	45.74838758	11.7401155	15.78938095	56.99876547	32.57298346	7.374969781	47.55793972	3.128736049	2116.24215	12.86505757	1329.766005	3.854677074	BET SHEMESH
44926.58656	12	203.3850781	60.68442242	12.14264764	4.397625969	54.64918251	28.65592586	2.141003002	58.17796974	2.037376359	1160.490273	5.595566509	1298.826579	1.927725827	BETAR ILLIT
171567.1	19	132.412334	40.34465281	12.09178316	6.806138039	50.7796573	23.92377894	4.048737765	52.76019118	2.485049981	1787.238297	8.521405894	1316.917996	2.231170925	BENE BERAQ
6931.525034	38	74.84000067	9.090909091	11.80611307	24.11026662	70.09950465	11.68659492	7.00397772	37.08102018	9.564994669	4069.291743	32.96630628	1229.36504	4.711978384	BENE AYISH
